object_id,nome,tipo,costellazione,magnitudine,ascensione_retta,declinazione,dimensione_apparente,max_angular_size_deg,recommended_observation_type,best_filter_class,fallback_filter_class,optional_color_filter_class,imaging_reducer_recommended,recommendation_enabled_by_default,descrizione
messier-M1,Crab Nebula,Supernova remnant,Taurus,8.4,05h 34m 31.9s,+22° 00′ 52.2″,420″ × 290″,0.117,General,UHC,,,0,1,M1 (NGC 1952) - Supernova remnant in Taurus.
messier-M2,M2,Globular cluster,Aquarius,6.5,21h 33m 27.0s,-00° 49′ 23.7″,16′,0.267,General,,,,0,1,M2 (NGC 7089) - Globular cluster in Aquarius.
messier-M3,M3,Globular cluster,Canes Venatici,6.2,13h 42m 11.6s,+28° 22′ 38.2″,18′,0.300,General,,,,0,1,M3 (NGC 5272) - Globular cluster in Canes Venatici.
messier-M4,Spider Globular Cluster,Globular cluster,Scorpius,5.6,16h 23m 35.2s,-26° 31′ 32.7″,26′,0.433,General,,,,0,1,M4 (NGC 6121) - Globular cluster in Scorpius.
messier-M5,Rose Cluster,Globular cluster,Serpens,5.6,15h 18m 33.2s,+02° 04′ 51.7″,23′,0.383,General,,,,0,1,M5 (NGC 5904) - Globular cluster in Serpens.
messier-M6,Butterfly Cluster,Open cluster,Scorpius,4.2,17h 40.1m,-32° 13′,25′,0.417,WideField,,,,1,1,M6 (NGC 6405) - Open cluster in Scorpius.
messier-M7,Ptolemy's Cluster,Open cluster,Scorpius,3.3,17h 53m 51.2s,-34° 47′ 34″,80′,1.333,WideField,,,,1,1,M7 (NGC 6475) - Open cluster in Scorpius.
messier-M8,Lagoon Nebula,Nebula with cluster,Sagittarius,4.6,18h 03m 37s,-24° 23′ 12″,90′ × 40′,1.500,WideField,UHC,,,1,1,M8 (NGC 6523) - Nebula with cluster in Sagittarius.
messier-M9,M9,Globular cluster,Ophiuchus,7.7,17h 19m 11.8s,-18° 30′ 58.5″,9.3′,0.155,HighMagnification,,,,0,1,M9 (NGC 6333) - Globular cluster in Ophiuchus.
messier-M10,M10,Globular cluster,Ophiuchus,6.6,16h 57m 8.9s,-04° 05′ 58.1″,20′,0.333,General,,,,0,1,M10 (NGC 6254) - Globular cluster in Ophiuchus.
messier-M11,Wild Duck Cluster,Open cluster,Scutum,5.8,18h 51.1m,-06° 16′,22.8′,0.380,WideField,,,,1,1,M11 (NGC 6705) - Open cluster in Scutum.
messier-M12,M12,Globular cluster,Ophiuchus,6.7,16h 47m 14.2s,-01° 56′ 54.7″,16′,0.267,General,,,,0,1,M12 (NGC 6218) - Globular cluster in Ophiuchus.
messier-M13,Great Hercules Cluster,Globular cluster,Hercules,5.8,16h 41m 41.2s,+36° 27′ 35.5″,20′,0.333,General,,,,0,1,M13 (NGC 6205) - Globular cluster in Hercules.
messier-M14,M14,Globular cluster,Ophiuchus,7.6,17h 37m 36.2s,-03° 14′ 45.3″,11′,0.183,General,,,,0,1,M14 (NGC 6402) - Globular cluster in Ophiuchus.
messier-M15,Great Pegasus Cluster,Globular cluster,Pegasus,6.2,21h 29m 58.3s,+12° 10′ 01.2″,18′,0.300,General,,,,0,1,M15 (NGC 7078) - Globular cluster in Pegasus.
messier-M16,Eagle Nebula,H II region nebula with cluster,Serpens,6.4,18h 18m 48s,-13° 49′,70′ × 50′,1.167,WideField,UHC,,,1,1,M16 (NGC 6611) - H II region nebula with cluster in Serpens.
messier-M17,"Omega, Swan, Horseshoe, Lobster, or Checkmark Nebula",H II region nebula with cluster,Sagittarius,6.0,18h 20m 26s,-16° 10′ 36″,11′,0.183,General,UHC,,,0,1,M17 (NGC 6618) - H II region nebula with cluster in Sagittarius.
messier-M18,Black Swan Cluster,Open cluster,Sagittarius,7.5,18h 19.9m,-17° 08′,9.8′,0.163,General,,,,0,1,M18 (NGC 6613) - Open cluster in Sagittarius.
messier-M19,M19,Globular cluster,Ophiuchus,6.8,17h 02m 37.7s,-26° 16′ 04.6″,17′,0.283,General,,,,0,1,M19 (NGC 6273) - Globular cluster in Ophiuchus.
messier-M20,Trifid Nebula,H II region nebula with cluster,Sagittarius,6.3,18h 02m 23s,-23° 01′ 48″,28′,0.467,WideField,UHC,,,1,1,M20 (NGC 6514) - H II region nebula with cluster in Sagittarius.
messier-M21,Webb's Cross Cluster,Open cluster,Sagittarius,6.5,18h 04.6m,-22° 30′,14′,0.233,General,,,,0,1,M21 (NGC 6531) - Open cluster in Sagittarius.
messier-M22,Great Sagittarius Cluster,Globular cluster,Sagittarius,5.1,18h 36m 23.9s,-23° 54′ 17.1″,32′,0.533,General,,,,0,1,M22 (NGC 6656) - Globular cluster in Sagittarius.
messier-M23,M23,Open cluster,Sagittarius,5.5,17h 56.8m,-19° 01′,35′,0.583,WideField,,,,1,1,M23 (NGC 6494) - Open cluster in Sagittarius.
messier-M24,Small Sagittarius Star Cloud,Milky Way star cloud,Sagittarius,2.5,18h 17m,-18° 33′,2°x1°,2.000,WideField,,,,1,1,M24 (IC 4715) - Milky Way star cloud in Sagittarius.
messier-M25,M25,Open cluster,Sagittarius,4.6,18h 31.6m,-19° 15′,36′,0.600,WideField,,,,1,1,M25 (IC 4725) - Open cluster in Sagittarius.
messier-M26,M26,Open cluster,Scutum,8.0,18h 45.2m,-09° 24′,14′,0.233,General,,,,0,1,M26 (NGC 6694) - Open cluster in Scutum.
messier-M27,Dumbbell Nebula,Planetary nebula,Vulpecula,7.4,19h 59m 36.3s,+22° 43′ 16.1″,8.0′ × 5.6′,0.133,General,OIII,,,0,1,M27 (NGC 6853) - Planetary nebula in Vulpecula.
messier-M28,M28,Globular cluster,Sagittarius,6.8,18h 24m 32.9s,-24° 52′ 11.4″,11.2′,0.187,General,,,,0,1,M28 (NGC 6626) - Globular cluster in Sagittarius.
messier-M29,Cooling Tower Cluster,Open cluster,Cygnus,7.1,20h 23m 56s,+38° 31′ 24″,7′,0.117,General,,,,0,1,M29 (NGC 6913) - Open cluster in Cygnus.
messier-M30,Jellyfish Cluster,Globular cluster,Capricornus,7.2,21h 40m 22.1s,-23° 10′ 47.5″,12′,0.200,General,,,,0,1,M30 (NGC 7099) - Globular cluster in Capricornus.
messier-M31,Andromeda Galaxy,Spiral galaxy,Andromeda,3.4,00h 42m 44.3s,+41° 16′ 09″,3.17° × 1°,3.170,WideField,,,,1,1,M31 (NGC 224) - Spiral galaxy in Andromeda.
messier-M32,Andromeda Satellite #1,Dwarf elliptical galaxy,Andromeda,8.1,00h 42m 41.8s,+40° 51′ 55″,8.7′ × 6.5′,0.145,General,,,,0,1,M32 (NGC 221) - Dwarf elliptical galaxy in Andromeda.
messier-M33,Triangulum/Pinwheel Galaxy,Spiral galaxy,Triangulum,5.7,01h 33m 50.0s,+30° 39′ 36.7″,70.8′ × 41.7′,1.180,WideField,,,,1,1,M33 (NGC 598) - Spiral galaxy in Triangulum.
messier-M34,Spiral Cluster,Open cluster,Perseus,5.5,02h 42.1m,+42° 46′,35′,0.583,WideField,,,,1,1,M34 (NGC 1039) - Open cluster in Perseus.
messier-M35,Shoe-Buckle Cluster,Open cluster,Gemini,5.3,06h 09.1m,+24° 21′,28′,0.467,WideField,,,,1,1,M35 (NGC 2168) - Open cluster in Gemini.
messier-M36,Pinwheel Cluster,Open cluster,Auriga,6.3,05h 36m 12s,+34° 08′ 04″,12′,0.200,General,,,,0,1,M36 (NGC 1960) - Open cluster in Auriga.
messier-M37,Salt and Pepper Cluster,Open cluster,Auriga,6.2,05h 52m 18s,+32° 33′ 02″,24′,0.400,WideField,,,,1,1,M37 (NGC 2099) - Open cluster in Auriga.
messier-M38,Starfish Cluster,Open cluster,Auriga,7.4,05h 28m 42s,+35° 51′ 18″,21′,0.350,WideField,,,,1,1,M38 (NGC 1912) - Open cluster in Auriga.
messier-M39,Pyramid Cluster,Open cluster,Cygnus,4.6,21h 31m 42s,+48° 26′ 00″,29′,0.483,WideField,,,,1,1,M39 (NGC 7092) - Open cluster in Cygnus.
messier-M40,Winnecke 4,Optical Double,Ursa Major,8.4,12h 22m 12.5s,+58° 04′ 59″,51.7″,0.014,HighMagnification,,,,0,1,M40 - Optical Double in Ursa Major.
messier-M41,Little Beehive Cluster,Open cluster,Canis Major,4.5,06h 46.0m,-20° 46′,38′,0.633,WideField,,,,1,1,M41 (NGC 2287) - Open cluster in Canis Major.
messier-M42,Great Orion Nebula,H II region nebula,Orion,4.0,05h 35m 17.3s,-05° 23′ 28″,65′ × 60′,1.083,WideField,UHC,,,1,1,M42 (NGC 1976) - H II region nebula in Orion.
messier-M43,De Mairan's Nebula,H II region nebula (part of the Orion Nebula),Orion,9.0,05h 35.6m,-05° 16′,20′ × 15′,0.333,WideField,H_BETA,,,1,1,M43 (NGC 1982) - H II region nebula (part of the Orion Nebula) in Orion.
messier-M44,Beehive Cluster or Praesepe,Open cluster,Cancer,3.7,08h 40.4m,+19° 59′,95′,1.583,WideField,,,,1,1,M44 (NGC 2632) - Open cluster in Cancer.
messier-M45,"Pleiades, Seven Sisters or Subaru",Open cluster,Taurus,1.6,03h 47m 24s,+24° 07′ 00″,2°,2.000,WideField,,,,1,1,M45 - Open cluster in Taurus.
messier-M46,M46,Open cluster,Puppis,6.0,07h 41.8m,-14° 49′,22.8′,0.380,WideField,,,,1,1,M46 (NGC 2437) - Open cluster in Puppis.
messier-M47,M47,Open cluster,Puppis,4.4,07h 36.6m,-14° 30′,30′,0.500,WideField,,,,1,1,M47 (NGC 2422) - Open cluster in Puppis.
messier-M48,M48,Open cluster,Hydra,5.5,08h 13.7m,-05° 45′,30′,0.500,WideField,,,,1,1,M48 (NGC 2548) - Open cluster in Hydra.
messier-M49,M49,Elliptical galaxy,Virgo,8.4,12h 29m 46.7s,+08° 00′ 02″,10.2′ × 8.3′,0.170,General,,,,0,1,M49 (NGC 4472) - Elliptical galaxy in Virgo.
